age,shape,scale,loc,invert_data,fit_method
5.0,0.1644763137512916,15.251818414368005,0,True,linear_interp
6.0,0.1556936009993609,14.561113506450143,0,True,linear_interp
7.0,0.14556403405669657,13.882805280721184,0,True,linear_interp
8.0,0.1345413110035938,13.253608284940611,0,True,linear_interp
9.0,0.12630907352526552,12.927347089792661,0,True,linear_interp
10.0,0.12011150422902361,12.54072450722357,0,True,linear_interp
11.0,0.1305692487041654,12.36993850958848,0,True,linear_interp
12.0,0.12835665638093144,12.051719663644766,0,True,linear_interp
13.0,0.12558672341158383,11.771075171013164,0,True,linear_interp
14.0,0.12258623870344329,11.44638251463935,0,True,linear_interp
15.0,0.12344005277619231,11.023423102017105,0,True,linear_interp
16.0,0.12058827839026247,10.710591239389558,0,True,linear_interp
17.0,0.11945030560149747,10.73641511192336,0,True,linear_interp
18.0,0.12086819201029038,10.771356888006526,0,True,linear_interp
